7442	2096	11964
7441	1908	12908
7440	1984	13268
7439	2048	14112
7438	2268	15400
7437	2316	12024
7436	3104	11968
7435	3254	11972
7434	18840	12888
7433	18100	13388
7432	17300	13648
7431	16800	13876
7430	15972	14104
7429	15104	14020
7428	14452	13524
7427	14016	13264
7426	13072	12900
7425	20452	25728
7424	14442	4589
7423	15580	5368
7422	16608	6192
7421	17804	7816
7420	18304	8784
7419	18740	10204
7418	19068	11572
7417	19392	12672
7416	19440	12956
7415	19712	14356
7414	19848	15812
7413	19960	17156
7412	19984	18544
7411	19976	20196
7410	19716	23280
7409	19824	22112
7408	18260	28696
7406	13872	4176
7405	13572	4740
7404	13272	6000
7403	13316	7468
7402	13480	8824
7401	13308	9968
7400	12996	11264
7399	12284	12624
7398	12016	12788
7397	11396	13028
7395	9708	14020
7394	9160	14804
7393	1808	13408
7392	5108	14148
7391	6456	14456
7390	7572	14888
7389	8948	15300
7388	8752	16404
7387	8548	18096
7386	8584	18848
7384	9356	20552
7383	9944	20776
7382	10364	20772
7381	11552	21140
7380	12036	21504
7379	14036	21868
7378	15004	21784
7377	16172	21900
7376	17036	22236
7375	19576	24604
7371	3384	12008
7370	3756	11304
7367	4512	10374
7366	9384	11763
7365	11306	16146
7364	11338	13542
7363	10293	15518
7362	8398	13756
7361	10201	19847
7360	10281	22362
7359	11619	17001
7358	10517	17106
7357	11099	25221
7356	12078	27074
7355	11877	23837
7354	12596	15239
7353	10185	7962
7352	10333	8932
7351	19657	11423
7350	11823	20094
7349	18246	21630
7348	6443	15447
7347	5946	13520
7345	7202	16563
7344	7090	16676
7343	7019	16798
7341	8948	16975
7340	8843	16989
7339	8928	16902
7338	8846	16911
7337	8913	16833
7336	8867	16838
7335	8850	17025
7334	8836	16947
7332	9217	17255
7331	9193	17113
7330	9110	17103
7329	9081	17074
7328	9056	16913
7327	9027	16777
7325	8974	16606
7324	8978	16528
7323	8199	16104
7322	8147	16041
7318	5531	14956
7317	5539	14966
7316	5493	14976
7315	5459	14971
7314	5444	14951
7313	5435	14922
7312	5439	14893
7311	5468	14869
7310	6226	13081
7307	6165	13933
7306	6326	14279
7305	6477	14347
7304	6584	14372
7303	6628	14367
7302	6789	14269
7301	6799	14235
7300	6604	13680
7298	6550	13690
7297	6243	13894
7296	6175	13875
7294	6117	13421
7293	6171	13357
7292	6165	13347
7291	6185	13381
7290	5623	13705
7289	5113	13912
7288	5123	13858
7287	5359	13805
7286	8259	16953
7285	8366	16816
7284	8288	16738
7283	8532	16422
7282	7063	16860
7280	8121	17285
7279	8218	16080
7278	8053	16289
7277	8254	16450
7273	5004	10697
7272	4912	10597
7270	7824	16304
7269	8053	16026
7268	7955	15944
7266	4610	10240
7264	4678	9973
7263	8833	15276
7262	8847	15544
7261	8842	15656
7259	8754	15857
7256	8155	16572
7254	5168	10793
7252	4926	10958
7251	4946	11007
7248	5397	13906
7244	4965	10926
7243	4809	10750
7242	6645	15815
7241	6289	15723
7240	6201	16010
7239	6206	16057
7238	6947	13276
7237	6097	13777
7236	5829	13319
7235	5477	13530
7234	5956	14756
7233	6386	14601
7232	6484	14601
7231	6645	14654
7229	7289	14886
7228	7721	15067
7227	8126	15218
7225	8409	15843
7224	8499	15775
7223	8392	15633
7222	8280	15551
7221	8202	15638
7220	4774	10221
7219	4605	10138
7218	4707	10285
7216	4853	10060
7212	6256	15391
7211	6217	15557
7210	5960	15503
7209	4941	15728
7208	4868	15572
7207	4809	15427
7206	4765	15359
7205	4903	15218
7204	5474	14760
7201	4770	10591
7200	4726	10528
7199	4673	10479
7198	4605	10435
7197	4541	10396
7196	8912	15742
7194	8732	15724
7193	8649	15680
7192	8420	15310
7190	5526	10612
7189	5487	10666
7188	5306	10739
7187	5175	10734
7186	5077	10788
7184	7762	16215
7183	7647	16122
7182	6231	15911
7181	6053	15857
7180	5820	16049
7179	6010	15311
7178	8381	16296
7177	8598	16476
7176	8798	16700
7175	8891	16749
7174	9003	16705
7172	7778	17186
7170	7813	17106
7169	7877	17012
7168	7957	16928
7167	7977	16893
7166	7982	16858
7165	7982	16823
7164	7992	16784
7163	8006	16747
7162	6588	16045
7161	6679	15650
7160	5577	15018
7159	5608	15003
7158	5628	15033
7156	5594	15042
